# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013518 seconds
# 2424.002837 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3350	     0.10912	     0.00550
  3400	     0.10996	     0.00550
  3450	     0.10111	     0.00524
  3500	     0.08745	     0.00477
  3550	     0.05075	     0.00346
  3600	     0.09638	     0.00479
  3650	     0.08311	     0.00439
  3700	     0.07895	     0.00425
  3750	     0.06172	     0.00376
  3800	     0.05888	     0.00359
  3850	     0.06810	     0.00379
  3900	     0.07326	     0.00384
  3950	     0.05122	     0.00323
  4000	     0.05667	     0.00332
  4050	     0.04103	     0.00274
  4100	     0.05493	     0.00325
  4150	     0.04424	     0.00280
  4200	     0.04264	     0.00277
  4250	     0.03828	     0.00257
  4300	     0.04227	     0.00273
  4350	     0.03948	     0.00253
  4400	     0.04059	     0.00254
  4450	     0.03142	     0.00224
  4500	     0.03036	     0.00212
  4550	     0.03475	     0.00236
  4600	     0.03388	     0.00222
  4650	     0.04009	     0.00240
  4700	     0.03305	     0.00211
  4750	     0.02504	     0.00188
  4800	     0.02134	     0.00170
  4850	     0.02699	     0.00188
  4900	     0.02697	     0.00183
  4950	     0.02066	     0.00160
# extra	     0.20125
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.011929 seconds
# 2747.007240 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878025.18750	        -nan
    50	  4687.04757	    50.11069
   100	  1750.96335	    18.35301
   150	   904.29817	     9.44511
   200	   539.56223	     5.67661
   250	   325.21495	     3.63789
   300	   218.81741	     2.48991
   350	   157.54034	     1.85691
   400	   111.33216	     1.37868
   450	    90.35763	     1.11301
   500	    69.78866	     0.89286
   550	    52.67045	     0.71028
   600	    39.95462	     0.57450
   650	    31.74993	     0.46944
   700	    25.59724	     0.39616
   750	    22.40184	     0.34659
   800	    17.26771	     0.28708
   850	    15.58640	     0.25917
   900	    13.45318	     0.22452
   950	     9.34172	     0.18019
  1000	     8.19300	     0.16086
  1050	     6.35450	     0.13526
  1100	     6.27636	     0.12701
  1150	     5.34657	     0.11325
  1200	     4.74602	     0.10251
  1250	     4.40806	     0.09481
  1300	     3.13068	     0.07624
  1350	     2.70386	     0.06870
  1400	     2.89637	     0.06865
  1450	     2.37709	     0.05996
  1500	     2.22706	     0.05637
  1550	     1.67920	     0.04746
  1600	     1.66867	     0.04650
  1650	     1.62598	     0.04350
  1700	     1.25300	     0.03719
  1750	     1.23424	     0.03620
  1800	     1.09562	     0.03297
  1850	     0.84919	     0.02851
  1900	     0.77840	     0.02636
  1950	     0.84331	     0.02670
  2000	     0.76591	     0.02464
  2050	     0.55414	     0.02079
  2100	     0.58129	     0.02038
  2150	     0.48463	     0.01799
  2200	     0.41591	     0.01657
  2250	     0.40517	     0.01605
  2300	     0.39707	     0.01560
  2350	     0.36577	     0.01449
  2400	     0.32899	     0.01354
  2450	     0.28859	     0.01246
  2500	     0.27740	     0.01180
  2550	     0.25303	     0.01085
  2600	     0.26852	     0.01116
  2650	     0.25559	     0.01078
  2700	     0.22120	     0.00973
  2750	     0.17331	     0.00851
  2800	     0.14471	     0.00770
  2850	     0.19522	     0.00868
  2900	     0.12358	     0.00690
  2950	     0.17445	     0.00789
  3000	     0.19118	     0.00809
  3050	     0.16445	     0.00753
  3100	     0.12036	     0.00628
  3150	     0.10247	     0.00567
  3200	     0.09185	     0.00520
  3250	     0.10388	     0.00548
  3300	     0.11627	     0.00580
  3350	     0.10912	     0.00550
  3400	     0.11052	     0.00551
  3450	     0.10111	     0.00524
  3500	     0.08745	     0.00477
  3550	     0.05075	     0.00346
  3600	     0.09577	     0.00477
  3650	     0.08311	     0.00439
  3700	     0.07934	     0.00426
  3750	     0.06172	     0.00376
  3800	     0.05888	     0.00359
  3850	     0.06810	     0.00379
  3900	     0.07326	     0.00384
  3950	     0.05154	     0.00324
  4000	     0.05667	     0.00332
  4050	     0.04103	     0.00274
  4100	     0.05473	     0.00325
  4150	     0.04415	     0.00280
  4200	     0.04264	     0.00277
  4250	     0.03798	     0.00256
  4300	     0.04270	     0.00275
  4350	     0.03948	     0.00253
  4400	     0.04082	     0.00255
  4450	     0.03172	     0.00225
  4500	     0.03036	     0.00212
  4550	     0.03475	     0.00236
  4600	     0.03388	     0.00222
  4650	     0.04009	     0.00240
  4700	     0.03305	     0.00211
  4750	     0.02504	     0.00188
  4800	     0.02163	     0.00171
  4850	     0.02699	     0.00188
  4900	     0.02697	     0.00183
  4950	     0.02066	     0.00160
# extra	     0.20129
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.012135 seconds
# 2700.267281 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878138.62500	        -nan
    50	  4683.55957	    50.10953
   100	  1753.59205	    18.36182
   150	   904.15453	     9.44789
   200	   538.32888	     5.67352
   250	   324.56524	     3.63573
   300	   218.87026	     2.49065
   350	   157.17841	     1.85496
   400	   110.94955	     1.37708
   450	    89.98123	     1.11108
   500	    70.05163	     0.89415
   550	    52.72981	     0.71076
   600	    40.05594	     0.57515
   650	    31.66848	     0.46889
   700	    25.55799	     0.39593
   750	    22.44031	     0.34689
   800	    17.28117	     0.28715
   850	    15.59722	     0.25915
   900	    13.46604	     0.22461
   950	     9.35655	     0.18039
  1000	     8.18225	     0.16069
  1050	     6.34839	     0.13513
  1100	     6.25462	     0.12681
  1150	     5.35624	     0.11338
  1200	     4.76988	     0.10279
  1250	     4.41138	     0.09485
  1300	     3.14088	     0.07636
  1350	     2.71351	     0.06881
  1400	     2.89401	     0.06869
  1450	     2.39294	     0.06017
  1500	     2.22587	     0.05636
  1550	     1.68351	     0.04752
