# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  1950	     0.72487	     0.02473
  2000	     0.71427	     0.02398
  2050	     0.62218	     0.02163
  2100	     0.58102	     0.02055
  2150	     0.53293	     0.01918
  2200	     0.48087	     0.01778
  2250	     0.43607	     0.01657
  2300	     0.41207	     0.01570
  2350	     0.34968	     0.01418
  2400	     0.33631	     0.01360
  2450	     0.32275	     0.01304
  2500	     0.28901	     0.01210
  2550	     0.28189	     0.01179
  2600	     0.25044	     0.01086
  2650	     0.24231	     0.01053
  2700	     0.21833	     0.00969
  2750	     0.17632	     0.00857
  2800	     0.19153	     0.00879
  2850	     0.18937	     0.00863
  2900	     0.16975	     0.00796
  2950	     0.15398	     0.00746
  3000	     0.14365	     0.00709
  3050	     0.13926	     0.00691
  3100	     0.12941	     0.00657
  3150	     0.12089	     0.00616
  3200	     0.10862	     0.00579
  3250	     0.10621	     0.00562
  3300	     0.10630	     0.00556
  3350	     0.09243	     0.00507
  3400	     0.09350	     0.00507
  3450	     0.09202	     0.00497
  3500	     0.07860	     0.00444
  3550	     0.08324	     0.00454
  3600	     0.07049	     0.00413
  3650	     0.07893	     0.00431
  3700	     0.06852	     0.00394
  3750	     0.06430	     0.00376
  3800	     0.06907	     0.00384
  3850	     0.06804	     0.00381
  3900	     0.05413	     0.00335
  3950	     0.05492	     0.00332
  4000	     0.05344	     0.00319
  4050	     0.05271	     0.00319
  4100	     0.04925	     0.00302
  4150	     0.04969	     0.00299
  4200	     0.05206	     0.00305
  4250	     0.04115	     0.00266
  4300	     0.04303	     0.00269
  4350	     0.03664	     0.00244
  4400	     0.04150	     0.00259
  4450	     0.04142	     0.00258
  4500	     0.03489	     0.00230
  4550	     0.03442	     0.00227
  4600	     0.03596	     0.00231
  4650	     0.03181	     0.00214
  4700	     0.02573	     0.00190
  4750	     0.02714	     0.00193
  4800	     0.02688	     0.00188
  4850	     0.02506	     0.00181
  4900	     0.02709	     0.00186
  4950	     0.02866	     0.00192
# extra	     0.20064
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.037900 seconds
# 864.596094 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878199.00000	        -nan
    50	  4688.93387	    50.12364
   100	  1802.41869	    18.52421
   150	   881.77156	     9.28565
   200	   523.65258	     5.55930
   250	   332.31085	     3.63552
   300	   227.61222	     2.55445
   350	   154.42733	     1.83574
   400	   117.00240	     1.41084
   450	    89.60564	     1.10936
   500	    66.09574	     0.86728
   550	    53.10091	     0.71197
   600	    41.11428	     0.57817
   650	    32.38597	     0.47634
   700	    26.15220	     0.40022
   750	    21.78363	     0.34263
   800	    17.29098	     0.28743
   850	    14.79434	     0.25196
   900	    12.18968	     0.21661
   950	    10.04221	     0.18573
  1000	     8.52547	     0.16334
  1050	     7.20242	     0.14347
  1100	     6.15869	     0.12669
  1150	     5.48853	     0.11486
  1200	     4.54113	     0.10027
  1250	     4.01502	     0.09053
  1300	     3.28129	     0.07909
  1350	     3.02939	     0.07278
  1400	     2.64960	     0.06590
  1450	     2.26982	     0.05892
  1500	     2.07558	     0.05447
  1550	     1.82487	     0.04949
  1600	     1.54725	     0.04421
  1650	     1.44256	     0.04129
  1700	     1.25883	     0.03747
  1750	     1.09000	     0.03380
  1800	     1.06816	     0.03246
